resourceType,id,uid,name
System,AZ-MA-NET,urn:os4csapi:system:odas:az-ma-net,Ft Huachuca Acoustic Sensing Network (MA-NET)
System,AZ-MA-1-PLATFORM,urn:os4csapi:platform:az-ma-1:tripod,AZ-MA-1 Tripod Platform
System,AZ-MA-1,urn:os4csapi:system:odas:az-ma-1,ODAS Mic Array Node AZ-MA-1
System,AZ-MA-1-MICARRAY,urn:os4csapi:system:odas:az-ma-1:micarray,AZ-MA-1 MICARRAY
System,AZ-MA-1-EDGE,urn:os4csapi:system:odas:az-ma-1:edge,AZ-MA-1 EDGE
System,AZ-MA-1-COMMS,urn:os4csapi:system:odas:az-ma-1:comms,AZ-MA-1 COMMS
System,AZ-MA-1-POWER,urn:os4csapi:system:odas:az-ma-1:power,AZ-MA-1 POWER
System,AZ-MA-1-ACTUATOR,urn:os4csapi:system:odas:az-ma-1:actuator,AZ-MA-1 ACTUATOR
System,AZ-MA-1-MIC1,urn:os4csapi:system:odas:az-ma-1:mic1,AZ-MA-1 Microphone Element 1
System,AZ-MA-1-MIC2,urn:os4csapi:system:odas:az-ma-1:mic2,AZ-MA-1 Microphone Element 2
System,AZ-MA-1-MIC3,urn:os4csapi:system:odas:az-ma-1:mic3,AZ-MA-1 Microphone Element 3
System,AZ-MA-1-MIC4,urn:os4csapi:system:odas:az-ma-1:mic4,AZ-MA-1 Microphone Element 4
System,AZ-MA-1-MIC5,urn:os4csapi:system:odas:az-ma-1:mic5,AZ-MA-1 Microphone Element 5
System,AZ-MA-1-MIC6,urn:os4csapi:system:odas:az-ma-1:mic6,AZ-MA-1 Microphone Element 6
System,AZ-MA-1-MIC7,urn:os4csapi:system:odas:az-ma-1:mic7,AZ-MA-1 Microphone Element 7
System,AZ-MA-2-PLATFORM,urn:os4csapi:platform:az-ma-2:tripod,AZ-MA-2 Tripod Platform
System,AZ-MA-2,urn:os4csapi:system:odas:az-ma-2,ODAS Mic Array Node AZ-MA-2
System,AZ-MA-2-MICARRAY,urn:os4csapi:system:odas:az-ma-2:micarray,AZ-MA-2 MICARRAY
System,AZ-MA-2-EDGE,urn:os4csapi:system:odas:az-ma-2:edge,AZ-MA-2 EDGE
System,AZ-MA-2-COMMS,urn:os4csapi:system:odas:az-ma-2:comms,AZ-MA-2 COMMS
System,AZ-MA-2-POWER,urn:os4csapi:system:odas:az-ma-2:power,AZ-MA-2 POWER
